adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[28, 12, 878]",393209,en,Avatar 5,,16.141,/rtmmvqkIC5zDMEd638Es2woxbz8.jpg,2028-12-20,Avatar 5,False,0,0
False,/kaFyH3NwxlobbjDHOZUkKDqpQJ0.jpg,"[16, 28, 14]",1097350,ja,HIDARI,"After being betrayed by his peers and lost both his father and his right arm, ""Jingoro Hidari"" is on a journey of revenge with his partner ""Sleeping Cat"" and his mechanical prosthetic arm.",0.853,/93Nwss2pkwKiE4BW2R8db8MbV5Z.jpg,2028-01-01,HIDARI,False,0,0
False,,[],951687,hi,Narayan Pustika 2 - Endless,This movie is the second part of the Narayana Pustika trilogy. In which there is a description of the troubles arising from the opening of the unimaginable door revealed by the great sages.,0.65,,2026-12-30,Narayan Pustika 2 - Endless,False,0,0
False,,"[28, 878, 12, 14, 53]",216527,en,Avatar 4,,12.636,/qls9tbBTTDDEXuqm9kLB16Y7xhE.jpg,2026-12-16,Avatar 4,False,0,0
False,,"[16, 14]",980432,en,Untitled Fire Lord Zuko Project,A spin-off of the animated series Avatar: The Last Airbender. Plot unknown.,1.174,/21b0i0Ozc2o9YNsVyEf4iyYNt5r.jpg,2026-10-09,Untitled Fire Lord Zuko Project,False,0,0
False,/jqFC2WjYF07hx2X7cs0XmY9jBX6.jpg,"[28, 878]",1003598,en,Avengers: Secret Wars,An upcoming film in the Marvel Cinematic Universe's sixth Phase and the finale of The Multiverse Saga. Plot unknown.,28.719,/8chwENebfUEJzZ7sMUA0nOgiCKk.jpg,2026-04-29,Avengers: Secret Wars,False,0,0
False,/y06YewRTnAjzbDGUhkcKQSRUMn5.jpg,"[18, 14, 10402]",967941,en,Wicked Part 2,"Wicked tells the story of Elphaba, the future Wicked Witch of the West and her relationship with Glinda, the Good Witch of the North. The second of a two-part feature film adaptation of the Broadway musical.",3.22,/iDtXSiHfHiO98oWf39AN1aVQ1d0.jpg,2025-12-25,Wicked Part 2,False,0,0
False,,[878],463828,en,Spaceless,"A man wakes up inside a spacesuit tumbling helplessly through space, with a computer designed to keep him company until his air runs out, trying to solve the mystery of his death.",2.617,/9HFrfArmbGZyDoOXGdlgG6CNf8a.jpg,2025-12-15,Spaceless,False,0,0
False,,"[9648, 18]",1078814,hi,Yugantar,These movies are based on the research of changes in humans due to Vedic changes born in humans over time.,0.868,/jkQ6FDJ4Wmla3tID7mG27j6c5Mp.jpg,2025-11-14,Yugantar,False,0,0
False,,"[27, 14]",502213,en,Before the Mask,Deaths begin again as a body returns.,1.579,/5JYi2v014mfJBuFFnv9X8cGPXkp.jpg,2025-10-28,Before the Mask,False,0,0
False,/bmeaSmAVsX6RclXiX7EOX3TtdzB.jpg,"[16, 28, 12, 14]",980431,en,Avatar The Last Airbender: Echoes and Aftershocks,A sequel to the animated series Avatar: The Last Airbender. The film will follow Avatar Aang and his friends after the events of the original series. Plot unknown.,3.792,/fwUSmJ4gnliuyNYyFrviVYJVOF3.jpg,2025-10-10,Avatar The Last Airbender: Echoes and Aftershocks,False,0,0
False,,"[80, 18, 28]",806704,en,The Batman - Part II,Sequel to the 2022 film The Batman.,10.238,/hUe1G6Ziwl8b6DaaGHjhG6LQQH8.jpg,2025-10-02,The Batman - Part II,False,0,0
False,,[],322141,sv,Meat is awesome,,0.624,/rjL2xIlk7E6s0U35v4IJMJ22QmK.jpg,2025-09-01,Meat is awesome,False,0,0
False,,[878],1061474,en,Superman: Legacy,Superman learns to balance his Kryptonian heritage with his human upbringing.,8.659,,2025-07-10,Superman: Legacy,False,0,0
False,,[18],1121398,en,untitled,The first short film written and directed by Rob Meijer.,0.963,,2025-07-01,untitled,False,0,0
False,,"[28, 878]",1108803,en,Getter Robo,Live action adaptation of the Getter Robo manga.,0.963,,2025-06-20,Getter Robo,False,0,0
False,,"[27, 18, 14]",1088237,en,Midnight Concert,"Lorrie Hart investigates the disappearance of her sister Nichole. Along her journey, she makes a grim discovery of the private life of her favorite pop singer, Nocturnal.",1.515,/nB5FAxHc5QH7OxEtqNqCL5RbHQB.jpg,2025-06-12,Midnight Concert,False,0,0
False,,[],869370,en,The Gangsters War,"A sequel to The Revenge story, the plot is underway till the production start between 2023/2024",1.789,,2025-06-10,The Gangsters War,False,0,0
False,,[16],1067267,en,Untitled Animated Spongebob Squarepants Film,"A SpongeBob spin-off centered around the character of Sandy Cheeks, the squirrel.",2.162,,2025-05-23,Untitled Animated Spongebob Squarepants Film,False,0,0
False,,"[35, 16]",991494,en,The SpongeBob Movie: Search for SquarePants,"The story follows SpongeBob, as he travels to the depths of the ocean and faces off against the ghost of the Flying Dutchman.",2.435,,2025-05-23,The SpongeBob Movie: Search for SquarePants,False,0,0
False,/dRcVF4FyKb1MVE3cl1EbAYA1Ter.jpg,"[27, 53, 10749]",1034230,en,Birdemic 4: Garden of Paradise,"More birds attack Northern California, but this time in San Francisco.",1.764,/TViwpyNNfBFmWlCtpc2Uaa9RFX.jpg,2025-05-16,Birdemic 4: Garden of Paradise,False,0,0
False,/uR952NrgispGuyqIdUbkR24vE0u.jpg,"[28, 878]",1003596,en,Avengers: The Kang Dynasty,An upcoming film in the Marvel Cinematic Universe's sixth Phase and part of The Multiverse Saga. Plot unknown.,29.727,/utZTb3VBrH0zR77BcISU67pHuAx.jpg,2025-05-01,Avengers: The Kang Dynasty,False,0,0
False,,"[12, 16, 14, 10751]",950387,en,Minecraft: The Movie,"The malevolent Ender Dragon sets out on a path of destruction, prompting a young girl and her group of unlikely adventurers to set out to save the Overworld.",4.626,,2025-04-04,Minecraft: The Movie,False,0,0
False,,[27],890298,en,Night of The Abandoned City,A spin-off from the Abandoned city movie focusing on the mysterious man and his son in the night of the Abandoned city,1.406,,2025-03-31,Night of The Abandoned City,False,0,0
False,,"[14, 12]",1087192,en,Untitled How to Train Your Dragon Film,A live-action adaption of the animated film of the same name.,1.774,,2025-03-14,Untitled How to Train Your Dragon Film,False,0,0
False,,[18],1084353,en,Chinatown Cookout,Two runaway chefs risk everything they have to start a new life.,0.6,/3FKGEuDaNfCNemqo5ixWlYvnc92.jpg,2025-03-12,Chinatown Cookout,False,0,0
False,,[18],1065971,sv,Stall-Erik och Snapphanarna,"Stall-Erik och snapphanarna is a Swedish film project that began filming in 1996 with a preliminary premiere in 2025. Director, producer and lead actor is Anders Olofsson. Olofsson is entirely responsible for the financing of the project and the casting.",1.458,,2025-03-01,Stall-Erik and the Snapphans,False,0,0
False,,"[16, 10751, 14]",936108,en,The Smurf Movie,An animated musical film focused on Peyo's iconic creations.,3.029,,2025-02-12,The Smurf Movie,False,0,0
False,/qlwBv4v6EoeN2JxGWziT2kSyoVe.jpg,"[878, 28, 14]",617126,en,Fantastic Four,Set in the Marvel Cinematic Universe (MCU) and based on the Marvel Comics characters of the same name.,9.61,/jatnqRPnxjg2Q6cFsAjmrBNhx9.jpg,2025-02-12,Fantastic Four,False,0,0
False,,[],1108315,id,SAMA 2,sequel to the short film “SAMA” in 2019,0.6,/g8TYlJ3cogrshfdIXzVSFaabFZg.jpg,2025-02-08,SAME 2,False,0,0
False,,"[14, 12]",962352,en,Land Uncharted,"In the 1930s a trio of unlikely adventurers set off to find a heretofore uncharted land. It has existed in stories and myths for centuries and is believed to be somewhere around the North Pole.  Hounded by an overambitious agent of the USSR, the explorers end up finding much more than they ever expected.",2.141,,2025-02-02,Land Uncharted,False,0,0
False,,[18],1027501,zh,不老騎士,,0.633,,2025-01-25,Let’s Hit the Road,False,0,0
False,,"[878, 27, 35]",1071585,en,M3GAN 2.0,,9.236,/knr9wCLYT8zAsROasCOT42na7uQ.jpg,2025-01-17,M3GAN 2.0,False,0,0
False,,"[9648, 35, 14]",1103762,en,Untitled Spruce Films Project,The next feature film project from Spruce Films.,1.01,,2025-01-01,Untitled Spruce Films Project,False,0,0
False,,"[35, 53]",1095027,sl,Dekle noči,A young and alienated kleptomaniac's aimless life unexpectedly complicates when he steals a bike from a stubborn young girl who is supposedly a crime fighting superhero.,0.889,,2025-01-01,Girl of the Night,False,0,0
False,/yZfia37VeZqqoxzq5gKgkTKWbRc.jpg,[],531229,tr,Son Göktürk,,0.664,/iuk8tKnme2qjFB0wHTaCqJbGuhf.jpg,2025-01-01,Son Göktürk,False,0,1
